|0000|019|0|01082025|31082025|Vale S.A.|33592510040105||MG|4610241613505|3146107|1015091||B|1|
|0001|0|
|0005|Vale S.A.|35400000|Est de Ferro Vitória-Minas Km 613|S/N||Timbopeba|3138336377|3135594210||
|0100|ROSIANE ALVES DE SOUZA|50563203153|015359O0||22250145|PRAIA DE BOTAFOGO|00186||BOTAFOGO|2134855000||rosiane.alves@vale.com|3304557|
|0150|B10010151|Vale S.A.|1058|33592510015186||3170241618851|3146107||Fazenda Capanema|S/N||São Bartolomeu|
|0150|B10010220|Vale S.A.|1058|33592510022042||080266240|3205309||Av. Dante Micheline, Ponta de Tubarão|5500||Jardim Camburi|
|0150|B10010401|Vale S.A.|1058|33592510040105||4610241613505|3146107||Est de Ferro Vitória-Minas Km 613|S/N||Timbopeba|
|0150|B10010412|Vale S.A.|1058|33592510041268||4000241615037|3140001||Mina de Alegria|S/N||Zona Rural|
|0150|C0000001070|VALE S.A. CA|1058|33592510016409||3170241611253|3131703||RODOVIA PARA SANTA MARIA|S/N||CAMPESTRE I|
|0150|C0000001072|VALE S.A. CE|1058|33592510016409||3170241611253|3131703||RODOVIA PARA SANTA MARIA|S/N||CAMPESTRE I|
|0150|C0000001074|VALE S.A. TO|1058|33592510040105||4610241613505|3146107||Est de Ferro Vitoria-Min SN Km 613|s/n Km 613||TIMBOPEBA|
|0150|C0000001076|VALE S.A.|1058|33592510041268||4000241615037|3140001||Mina de Alegria|sn||ZONA RURAL|
|0150|C0000001077|VALE S.A. AL|1058|33592510041268||4000241615037|3140001||Mina de Alegria sn|s/n||ZONA RURAL|
|0150|C0000001079|VALE S.A. FZ|1058|33592510023529||7790241611910|3115359||Est de Ferro Vitória-Min sn Km 596|s/n Km 596||NA|
|0150|C0000001083|VALE S.A. BR|1058|33592510044798||6190241614688|3161908||Serra do Machado MG 436|MG-436||ZONA RURAL|
|0150|C0000001089|VALE S.A. TU|1058|33592510002106||081250185|3205309||Av. Dante Micheline Ponta de 5500|5500||JARDIM CAMBURI|
|0150|C0000001095|VALE S.A. FAB|1058|33592510000740||4610241615257|3146107||Rod BR-040 Km 598 Mina Fabrica sn|s/n||MIGUEL BURNIER|
|0150|C0000001103|VALE S.A. PIC|1058|33592510004494||3170241615542|3131901||Faz Cata Branca sn|s/n||PICO|
|0150|C0000001111|VALE S.A. MUT|1058|33592510003501||3170241615623|3144805||Faz Mutuca sn|s/n||MUTUCA|
|0150|C0000001119|VALE S.A. USVVG|1058|33592510003412||3170241615704|3144805||Fazenda Rio de Peixe sn|s/n||ZONA RURAL|
|0150|C0000001120|VALE S.A. TFA|1058|33592510003412||3170241615704|3144805||Fazenda Rio de Peixe sn|s/n||ZONA RURAL|
|0150|C0000001126|VALE INTERNATIONAL S.A.|7676||||||ROUTE DE PALLATEX|29||ST PREX.|
|0150|C0000001284|VALE S.A.|1058|33592510015186||3170241618851|3146107||FAZENDA CAPANEMA|S/N||SAO BARTOLOMEU|
|0150|C0000004029|VALE S.A|1058|33592510003412||3170241615704|3144805||A RURAL|S/N||AREA RURAL|
|0150|C0000004033|VALE S.A|1058|33592510004907||3170241616123|3105400||RUA NEIDA FERREIRA DE LACERDA|75||GARCIA II|
|0150|C0000004050|VALE S.A|1058|33592510008996||153048123|1502152||EST VICINAL VP-12, GLEBA CHICR|S/N||MOZARTINOPOLIS|
|0150|C0000005027|VALE INTERNATIONAL S.A.|7676||||||ROUTE PALLATEX 29|N/A||SAINT PREX|
|0150|C0000100017|ARCELORMITTAL BRASIL S.A.|1058|17469701010482||080750630|3205002||AVENIDA BRIGAGEIRO EDUARDO|526||POLO INDUSTRIAL TUBARÃO|
|0150|C0000100020|ARCELORMITTAL BRASIL S.A. BELJF|1058|17469701003435||3670940070333|3136702||RODOVIA BR 040, KM 769|SN||DIAS TAVARES|
|0150|C0000100131|USINAS SIDERURG DE MINAS GERAIS S/A INAS|1058|60894730002582||3130020220120|3131307||AV PERO VAZ DE CAMINHA|S/N|PORTARIA 3|BOM RETIRO|
|0150|C0000100367|CBF INDUSTRIA DE GUSA S/A|1058|36312056000552||081599501|3203130||ROD BR 101|km 196,5||Zona Rural|
|0150|C0000102521|ALSCO TOALHEIRO BRASIL LTDA|1058|33325184000380||0620124460061|3106200||RUA NAIR CAMILLO DOS REIS|601||CDI JATOBA (BARREIRO)|
|0150|C0000102791|ARCELORMITTAL BRASIL SA|1058|17469701002625||1860940070815|3118601||V APIO CARDOSO|20||PARQUE SÃO JOÃO|
|0150|C0000104588|ARCELORMITTAL PECEM S.A.|1058|09509535000167||063691663|2312403||ROD ROD CE 155|SN||PECEM|
|0150|C0000105831|GAUSTEC INDUSTRIA E MANUTENCAO EM ELETROMAGNETICOS LTDA|1058|07435569000129||4483769290064|3144805||R KERBAN|35||JARDIM CANADA|
|0150|C0000106807|ISOMONTE SA|1058|17666926000113||1863950840039|3118601||R CRISTIANO FRANCA T. GUIMARAES|265||CINCO|
|0150|C0000107393|LAVE MINAS LAVANDERIA INDUSTRIAL LTDA ME|1058|09220158000141||0010534790011|3133808||C ROD. MG 050|SÃO||ZONA RURAL|
